ticker,symbol,name,sector,industry,marketCapCr
NORTHARC.NS,NORTHARC,"Northern Arc Capital Limited","Financial Services","Credit Services",4104
E2E.NS,E2E,"E2E Networks Limited","Technology","Software - Infrastructure",4074
KNRCON.NS,KNRCON,"KNR Constructions Limited","Industrials","Engineering & Construction",4059
INTERARCH.NS,INTERARCH,"Interarch Building Solutions Limited","Industrials","Engineering & Construction",4054
CHEMPLASTS.NS,CHEMPLASTS,"Chemplast Sanmar Limited","Basic Materials","Chemicals",4053
CEIGALL.NS,CEIGALL,"CEIGALL INDIA LIMITED","Industrials","Engineering & Construction",4032
BHARATRAS.NS,BHARATRAS,"Bharat Rasayan Limited","Basic Materials","Agricultural Inputs",4004
INNOVACAP.NS,INNOVACAP,"Innova Captab Limited","Healthcare","Drug Manufacturers - Specialty & Generic",3995
VAIBHAVGBL.NS,VAIBHAVGBL,"Vaibhav Global Limited","Consumer Cyclical","Luxury Goods",3974
AVANTEL.NS,AVANTEL,"Avantel Limited","Technology","Communication Equipment",3967
GOPAL.NS,GOPAL,"Gopal Snacks Limited","Consumer Defensive","Packaged Foods",3947
